2012529	DEPOSIT  ID NUMBER 1	-100
2012606	Online Transfer from  SAV ...9790	0
2012607	Online Transfer from  SAV ...9790	0
2012611	Amazon.com AMZN.COM/BILL        	32.74
2012611	APPLE ART BROOKLYN NY          	13.89
2012613	AMZ*Lenovo USD amzn.com/        06/13AMZ*	12.6208
2012613	UTRECHT ART SUPPLY #41 B        06/12UTRE	10.88
2012625	C-TOWN SUPERMARKET S90 B962609  06/24C-TO	14.17
2012625	MTA VENDING MACHINES 718073740  06/23MTA 	20
2012625	NON-CHASE ATM FE	2
2012625	NON-CHASE ATM SAV TFR   	-200
2012625	Online Transfer to  SAV ...9790 	0
2012625	PRIVE DESIGNER SALES NEW       	29
2012627	C-TOWN SUPERMARKET S90 B123131  06/27C-TO	8.33
2012627	PIONEER SUPERMARKE BROOK192191 	5.09
2012629	PIONEER SUPERMARKE BROOK407367 	29.44
2012702	COHEN'S FASHION OPTICA N        06/30COHE	100
2012702	MACY*S .COM #0129 800	148.61
2012702	NON-CHASE ATM FEE	2
2012702	NON-CHASE ATM SAV TFR   	-300
2012702	NON-CHASE ATM SAV TFR   	-100
2012702	NON-CHASE ATM WITHDRAW 	303
2012702	PIONEER SUPERMARKE BROOK168002 	23.32
2012702	PIONEER SUPERMARKE BROOK193748 	18.02
2012705	PIONEER SUPERMARKE BROOK405775 	7.15
2012705	PIONEER SUPERMARKE BROOK421377 	17.96
2012709	NON-CHASE ATM FEE	2
2012709	NON-CHASE ATM WITHDRAW 	101.5
2012709	Online Transfer from  SAV ...9790	0
2012709	PRATT INSTITUTE CBO 718-       	100
2012710	PIONEER SUPERMARKE BROOK475932 	26.22
2012716	304-1244-TIMES NEW YORK        	27.22
2012716	PIONEER SUPERMARKE BROOK451597 	14.72
2012719	FOREVER 21 #3006 NEW 	62.9
2012723	Online Transfer from  SAV ...9790	-300
2012725	PIONEER SUPERMARKE BROOKLYN NY     	17.59
2012730	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	16.99
2012730	Amazon Prime 866-557-2820 NV                 	79
2012730	PIONEER SUPERMARKE BROOKLYN NY     	16.16
2012730	PIONEER SUPERMARKE BROOKLYN NY     	15.6
2012731	Amazon.com AMZN.COM/BILL WA                  	29.12
2012801	ATM WITHDRAWAL                    	200
2012801	Online Transfer from  SAV ...9790	0
2012801	PIONEER SUPERMARKE BROOKLYN NY     	3.49
2012802	PIONEER SUPERMARKE BROOKLYN NY               	30.7
2012802	PIONEER SUPERMARKE BROOKLYN NY     	14.5
2012806	Online Transfer from  SAV ...9790	0
2012806	PIONEER SUPERMARKE BROOKLYN NY     	11.06
2012806	PIONEER SUPERMARKE BROOKLYN NY     	6.48
2012806	UTRECHT ART SUPPLY #41 BROOKLY NY            	36.12
2012807	PIONEER SUPERMARKE BROOKLYN NY     	9.3
2012807	UTRECHT ART SUPPLY #41 BROOKLY NY            	82.28
2012809	PIONEER SUPERMARKE BROOKLYN NY     	8.08
2012810	ASSOCIATED BROOKLYN NY             	4.17
2012810	PIONEER SUPERMARKE BROOKLYN NY     	10.06
2012813	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	32.65
2012813	CENTURY TWENTY ONE #10 NEW YORK NY 	147.63
2012813	CENTURY TWENTY ONE #10 NEW YORK NY 	27.19
2012813	CENTURY TWENTY ONE #10 NEW YORK NY 	18.98
2012813	Online Transfer from  SAV ...9790	300
2012816	IKEA BROOKLYN BROOKLYN NY          	548.82
2012816	Online Transfer from  SAV ...9790	0
2012817	ATM WITHDRAWAL                    	100
2012817	C-TOWN SUPERMARKET S90 BROOKLYN NY 	8.14
2012821	HARVARD COOP BK 1400 M CAMBRIDGE MA	10.6
2012821	NEWBURY COMICS INC CAMBRIDGE MA    	64.98
2012821	URBAN OUTFITTER URBAN CAMBRIDGE MA 	81.38
2012822	ANTHROPOLOGIE 4 ANTHRO BOSTON MA  	77.95
2012822	CARDULLO'S GOURMET SHO CAMBRIDGE MA          	12.98
2012824	FOREVER 21 #349 BOSTON MA                    	45
2012824	HARVARD COOP BK 1400 M CAMBRIDGE MA	62.65
2012824	J. AUGUST BOOKSTORE #03 CAMBRIDGE MA         	61.96
2012824	LIFE IS GOOD RETAIL BOSTON MA                	22
2012824	MFA MUSEUM SHOP MEP BOSTON MA                	14.77
2012824	Online Transfer from  SAV ...9790	0
2012827	MFA TICKETS/MEMBERSHIP BOSTON MA             	23
2012827	SAVENORS MARKET BOSTON MA                    	21.95
2012827	SPICE THAI CUISINE CAMBRIDGE MA              	48
2012827	URBAN OUTFITTER URBAN CAMBRIDGE MA 	59.97
2012827	WATER TRANSKIOSK SALE QUINCY MA              	30
2012828	TIA`S BOSTON BOSTON MA                       	60
2012831	Online Transfer from  SAV ...9790	0
2012904	COMPARE SUPERMA BROOKLYN NY                  	48.45
2012904	HERCULES CORP 516-8703842 NY                 	10
2012904	HONG KONG SUPERMARKET NEW YORK NY  	30.11
2012904	KUM KAU BROOKLYN NY                          	56.78
2012904	THE HOME DEPOT #6957 BROOKLYN NY     037959  	217.36
2012904	UTRECHT ART SUPPLY #41 BROOKLY NY            	16.32
2012905	ASSOCIATED BROOKLYN NY             	55.92
2012905	Online Transfer from  SAV ...9790	0
2012905	Online Transfer from  SAV ...9790	0
2012906	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	39.34
2012906	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	7.02
2012906	Amazon.com AMZN.COM/BILL WA                  	42.83
2012906	IKEA BROOKLYN BROOKLYN NY          	110.44
2012906	Online Transfer from  SAV ...9790	0
2012906	UTRECHT ART SUPPLY #41 BROOKLY NY            	41.25
2012907	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	3.59
2012907	HONG KONG SUPERMARKET NEW YORK NY  	63.08
2012907	THAI 101 BROOKLYN NY                         	28
2012910	Online Transfer from  SAV ...9790	-37
2012910	PIONEER SUPERMARKE BROOKLYN NY     	28.73
2012912	GRISTEDES # 059 NEW YORK NY        	15.34
2012913	Online Transfer from  SAV ...9790	0
2012913	Online Transfer from  SAV ...9790	0
2012914	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	93.61
2012914	C-TOWN SUPERMARKET S90 BROOKLYN NY 	30.56
2012914	HERCULES CORP 516-8703842 NY                 	10
2012917	CULINART @ PRATT INSTI BROOKLYN NY           	18.73
2012917	FORECAST FOOTWEAR NEW YORK NY      	163.3
2012917	MUJI SOHO NY NY                              	16.5
2012917	Online Transfer from  SAV ...9790	0
2012917	PIONEER SUPERMARKE BROOKLYN NY     	29.15
2012917	TOP SHOP NEW YORK NEW YORK NY                	45.44
2012918	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	322.84
2012918	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	7.35
2012918	Amazon.com AMZN.COM/BILL WA                  	24.19
2012918	PAYPAL *FREEPEOPLEC 4029357733 SC            	115.37
2012918	PIONEER SUPERMARKE BROOKLYN NY     	41.99
2012919	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	5.88
2012920	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	7.36
2012920	Online Transfer from  SAV ...9790	0
2012920	PAYPAL *FREEPEOPLEC 4029357733 SC            	52.43
2012921	PRIVE SAMPLE SALE New York NY                	125
2012924	AMAZON MKTPLACE PMTS AMZN.COM/BILL WA        	24
2012924	EVENT TICKET INSURANC 866-456-3102 VA        	7
2012924	HAN AH REUM NEW YORK NY            	24.46
2012924	HONG KONG SUPERMARKET NEW YORK NY  	33.95
2012924	Online Transfer from  SAV ...9790	0
2012924	PIONEER SUPERMARKE BROOKLYN NY     	12.92
2012924	PIONEER SUPERMARKE BROOKLYN NY     	5.98
2012924	TM *BIGBANG 800-653-8000 NY                  	111.1
2012925	Amazon.com AMZN.COM/BILL WA                  	34.95
2012926	CULINART @ PRATT INSTI BROOKLYN NY           	12.47
2012928	Amazon.com AMZN.COM/BILL WA                  	21.74
2013001	MTA MVM CLASSON AVENU 718-330-1234 NY        	20
2013001	Online Transfer from  SAV ...9790	-200
2013001	PIONEER SUPERMARKE BROOKLYN NY     	19.92
2013002	CULINART @ PRATT INSTI BROOKLYN NY           	11.38
2013002	PIONEER SUPERMARKE BROOKLYN NY     	22.93
2013002	PIONEER SUPERMARKE BROOKLYN NY     	2.92
2013003	HERCULES LAUNDRY 800-526-5760 NY             	10
2013003	Online Transfer from  SAV ...9790	-500
2013004	PAYPAL           INST XFER  4G8226ASZL7AN   WEB ID: PAYPA	9
2013004	TOP SHOP NEW YORK NEW YORK NY                	282.42
2013009	APL*APPLE ITUNES STOR 866-712-7753 CA        	1.08
